"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"1990","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,502"
"1991","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,333"
"1992","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,515"
"1993","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,602"
"1994","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,989"
"1995","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,154"
"1996","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,212"
"1997","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,030"
"1998","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","3,111"
"1999","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","4,982"
"2000","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","8,276"
"2001","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","8,327"
"2002","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","8,503"
"2003","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","7,481"
"2004","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","7,664"
"2005","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","8,131"
"2006","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","8,643"
"2007","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","9,609"
"2008","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","9,207"
"2009","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","9,477"
"2010","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","10,320"
"2011","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","8,774"
"2012","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","9,826"
"2013","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","10,943"
"2014","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","11,291"
"2015","European Union (28 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","10,242"
"1990","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,392"
"1991","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,221"
"1992","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,393"
"1993","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,455"
"1994","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,823"
"1995","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,970"
"1996","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,031"
"1997","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,795"
"1998","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,964"
"1999","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","4,040"
"2000","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","7,169"
"2001","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","7,346"
"2002","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","7,617"
"2003","Euro area (19 countries)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","6,479"
