"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"1991","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"1992","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"1993","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"1994","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"1995","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"1996","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"1997","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"1998","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"1999","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"2000","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"2001","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"2002","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"2003","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"2004","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"2005","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"2006","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"2007","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"2008","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"2009","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"2010","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"2011","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"2012","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"2013","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"2014","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"2015","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":",""
"1990","Belgium","Terajoule","Electrical energy","Primary production",":",""
"1991","Belgium","Terajoule","Electrical energy","Primary production",":",""
"1992","Belgium","Terajoule","Electrical energy","Primary production",":",""
"1993","Belgium","Terajoule","Electrical energy","Primary production",":",""
"1994","Belgium","Terajoule","Electrical energy","Primary production",":",""
"1995","Belgium","Terajoule","Electrical energy","Primary production",":",""
"1996","Belgium","Terajoule","Electrical energy","Primary production",":",""
"1997","Belgium","Terajoule","Electrical energy","Primary production",":",""
"1998","Belgium","Terajoule","Electrical energy","Primary production",":",""
"1999","Belgium","Terajoule","Electrical energy","Primary production",":",""
"2000","Belgium","Terajoule","Electrical energy","Primary production",":",""
"2001","Belgium","Terajoule","Electrical energy","Primary production",":",""
"2002","Belgium","Terajoule","Electrical energy","Primary production",":",""
"2003","Belgium","Terajoule","Electrical energy","Primary production",":",""
"2004","Belgium","Terajoule","Electrical energy","Primary production",":",""
"2005","Belgium","Terajoule","Electrical energy","Primary production",":",""
"2006","Belgium","Terajoule","Electrical energy","Primary production",":",""
"2007","Belgium","Terajoule","Electrical energy","Primary production",":",""
"2008","Belgium","Terajoule","Electrical energy","Primary production",":",""
"2009","Belgium","Terajoule","Electrical energy","Primary production",":",""
"2010","Belgium","Terajoule","Electrical energy","Primary production",":",""
"2011","Belgium","Terajoule","Electrical energy","Primary production",":",""
"2012","Belgium","Terajoule","Electrical energy","Primary production",":",""
"2013","Belgium","Terajoule","Electrical energy","Primary production",":",""
"2014","Belgium","Terajoule","Electrical energy","Primary production",":",""
"2015","Belgium","Terajoule","Electrical energy","Primary production",":",""
"1990","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"1991","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"1992","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"1993","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"1994","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"1995","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"1996","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"1997","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"1998","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"1999","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"2000","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"2001","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"2002","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"2003","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"2004","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"2005","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"2006","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"2007","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"2008","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"2009","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"2010","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"2011","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"2012","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"2013","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"2014","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"2015","Bulgaria","Terajoule","Electrical energy","Primary production",":",""
"1990","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"1991","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"1992","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"1993","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"1994","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"1995","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"1996","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"1997","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"1998","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"1999","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"2000","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"2001","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"2002","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"2003","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"2004","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"2005","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"2006","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"2007","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"2008","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"2009","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"2010","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"2011","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"2012","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"2013","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"2014","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"2015","Czech Republic","Terajoule","Electrical energy","Primary production",":",""
"1990","Denmark","Terajoule","Electrical energy","Primary production",":",""
"1991","Denmark","Terajoule","Electrical energy","Primary production",":",""
"1992","Denmark","Terajoule","Electrical energy","Primary production",":",""
