"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","1,016,147",""
"1991","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","1,030,392",""
"1992","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","982,382",""
"1993","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","954,025",""
"1994","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","963,382",""
"1995","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","985,835",""
"1996","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","1,006,240",""
"1997","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","992,156",""
"1998","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","995,861",""
"1999","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","980,834",""
"2000","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","1,002,337",""
"2001","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","1,007,125",""
"2002","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","1,035,961",""
"2003","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","1,063,440",""
"2004","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","1,060,096",""
"2005","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","1,079,294",""
"2006","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","1,056,542",""
"2007","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","1,065,222",""
"2008","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","1,053,112",""
"2009","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","1,041,178",""
"2010","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","1,036,919",""
"2011","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","1,033,315",""
"2012","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","1,005,224",""
"2013","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","970,405",""
"2014","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","948,229",""
"2015","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","956,088",""
"1990","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","628,441",""
"1991","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","636,354",""
"1992","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","637,092",""
"1993","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","609,466",""
"1994","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","624,726",""
"1995","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","642,629",""
"1996","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","657,184",""
"1997","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","655,891",""
"1998","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","662,184",""
"1999","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","657,421",""
"2000","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","677,776",""
"2001","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","682,200",""
"2002","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","710,712",""
"2003","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","724,921",""
"2004","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","732,197",""
"2005","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","742,658",""
"2006","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","714,996",""
"2007","Euro area (19 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","713,981",""
