Share of renewable energy in gross final energy consumption;;;;;;;;;;;;;;;;;;;;;;;;;;
%;;;;;;;;;;;;;;;;;;;;;;;;;;
geo\time;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;TARGET;
EU (28 countries);8,5;;9;;9,5;;10,4;;11;;12,4;;12,9;;13,2;;14,4;;15,2;;16,1;;16,7;;20;
EU (27 countries);:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;20;
Belgium;1,9;;2,3;;2,6;;3,1;;3,6;;4,7;;5,7;;6,3;;7,2;;7,5;;8;;7,9;;13;
Bulgaria;9,4;;9,4;;9,6;;9,2;;10,5;;12,1;;14,1;;14,3;;16;;19;;18;;18,2;;16;
Czech Republic;6,8;;7,1;;7,4;;8;;8,6;;9,9;;10,5;;11;;12,8;;13,8;;15,1;;15,1;;13;
Denmark;14,9;;16;;16,3;;17,8;;18,6;;20;;22,1;;23,5;;25,7;;27,4;;29,3;;30,8;;30;
Germany;5,8;;6,7;;7,7;;9,1;;8,6;;9,9;;10,5;;11,4;;12,1;;12,4;;13,8;;14,6;;18;
Estonia;18,4;;17,5;;16,1;;17,1;;18,9;;23;;24,6;;25,5;;25,8;;25,6;;26,3;;28,6;;25;
Ireland;2,4;;2,9;;3,1;;3,6;;4,1;;5,1;;5,6;;6,6;;7,2;;7,7;;8,7;;9,2;;16;
Greece;6,9;;7;;7,2;;8,2;;8;;8,5;;9,8;;10,9;;13,5;;15;;15,3;;15,4;;18;
Spain;8,3;;8,4;;9,2;;9,7;;10,8;;13;;13,8;;13,2;;14,3;;15,3;;16,1;;16,2;;20;
France;9,4;;9,5;;9,3;;10,1;;11,1;;12,1;;12,5;;11,1;;13,4;;14,1;;14,7;;15,2;;23;
Croatia;23,5;;23,8;;22,7;;22,2;;22;;23,6;;25,1;;25,4;;26,8;;28;;27,9;;29;;20;
Italy;6,3;;7,5;;8,3;;9,8;;11,5;;12,8;;13;;12,9;;15,4;;16,7;;17,1;;17,5;;17;
Cyprus;3,1;;3,1;;3,3;;4;;5,1;;5,6;;6;;6;;6,8;;8,1;;8,9;;9,4;;13;
Latvia;32,8;;32,3;;31,1;;29,6;;29,8;;34,3;;30,4;;33,5;;35,7;;37,1;;38,7;;37,6;;40;
Lithuania;17,2;;16,8;;16,9;;16,5;;17,8;;19,8;;19,6;;19,9;;21,4;;22,7;;23,6;;25,8;;23;
Luxembourg;0,9;;1,4;;1,5;;2,7;;2,8;;2,9;;2,9;;2,9;;3,1;;3,5;;4,5;;5;;11;
Hungary;4,4;;4,5;;5,1;;5,9;;6,5;;8;;12,8;;14;;15,5;;16,2;;14,6;;14,5;;13;
Malta;0,1;;0,2;;0,2;;0,2;;0,2;;0,2;;1;;1,9;;2,8;;3,7;;4,7;;5;;10;
Netherlands;2,1;;2,5;;2,8;;3,3;;3,6;;4,3;;3,9;;4,5;;4,7;;4,8;;5,5;;5,8;;14;
Austria;22,6;;23,9;;25,4;;27,2;;28,1;;29,9;;30,4;;30,6;;31,4;;32,3;;32,8;;33;;34;
Poland;6,9;;6,9;;6,9;;6,9;;7,7;;8,7;;9,3;;10,3;;10,9;;11,4;;11,5;;11,8;;15;
Portugal;19,2;;19,5;;20,8;;21,9;;23;;24,4;;24,2;;24,6;;24,6;;25,7;;27;;28;;31;
Romania;16,3;;17,3;;17,1;;18,3;;20,5;;22,7;;23,4;;21,4;;22,8;;23,9;;24,8;;24,8;;24;
Slovenia;16,1;;16;;15,6;;15,6;;15;;20,1;;20,4;;20,3;;20,8;;22,4;;21,5;;22;;25;
Slovakia;6,4;;6,4;;6,6;;7,8;;7,7;;9,4;;9,1;;10,3;;10,4;;10,1;;11,7;;12,9;;14;
Finland;29,2;;28,8;;30;;29,6;;31,3;;31,3;;32,4;;32,8;;34,4;;36,7;;38,7;;39,3;;38;
Sweden;38,7;;40,6;;42,7;;44,2;;45,3;;48,2;;47,2;;48,7;;51,1;;52;;52,5;;53,9;;49;
United Kingdom;1,1;;1,3;;1,5;;1,8;;2,7;;3,3;;3,7;;4,2;;4,6;;5,7;;7,1;;8,2;;15;
Iceland;58,9;;60,1;;60,8;;71,5;;67,5;;69,7;;70,4;;71,6;;72,5;;71,7;;70,5;;70,2;;:;
Norway;58,1;;59,8;;60,2;;60,1;;61,7;;64,8;;61,2;;64,6;;65,6;;66,7;;69,4;;69,4;;:;
Switzerland;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
Montenegro;:;;35,7;;34,8;;32,9;;32,3;;39,4;;40,6;;40,7;;41,6;;43,7;;44,1;;43,1;;:;
Former Yugoslav Republic of Macedonia, the;15,7;;16,5;;16,5;;15;;15,6;;17,2;;16,5;;16,4;;18,1;;18,5;;19,6;;19,9;;:;
Albania;28,1;;30,7;;32,1;;32,8;;32,9;;31,4;;32;;31,4;;35,2;;33,2;;32;;34,9;;:;
Turkey;16,2;;15,6;;14,1;;13,3;;13,5;;14,3;;14,2;;13;;13,1;;14;;13,7;;13,6;;:;
:=not available ;;;;;;;;;;;;;;;;;;;;;;;;;;
:;;;;;;;;;;;;;;;;;;;;;;;;;;
Source of Data:;European environment agency (EEA);;;;;;;;;;;;;;;;;;;;;;;;;
Last update:;28.11.2017;;;;;;;;;;;;;;;;;;;;;;;;;
Date of extraction:;13 Dec 2017 16:01:06 CET;;;;;;;;;;;;;;;;;;;;;;;;;
Hyperlink to the table:;http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=t2020_31;;;;;;;;;;;;;;;;;;;;;;;;;
General Disclaimer of the EC website:;http://ec.europa.eu/geninfo/legal_notices_en.htm;;;;;;;;;;;;;;;;;;;;;;;;;
Short Description:;"This indicator is based on the definitions included in the <a href=""http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32009L0028"" target=""_blank"">Directive 2009/28/EC</a>(Renewable Energy Directive) on the promotion of the use of energy from renewable sources. It is calculated on the basis of data collected in the framework of <a href=""http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32008R1099"" target=""_blank"">Regulation (EC) No 1099/2008</a> on energy statistics and complemented by specific supplementary data transmitted by national administrations to Eurostat. This indicator measures how extensive is the use of renewable energy and, by implication, the degree to which renewable fuels have substituted fossil and/or nuclear fuels and therefore contributed to the decarbonisation of the EU economy. It also show what is the progress on EU level towards Europe 2020 target for renewable energies of increasing the <a href=""http://ec.europa.eu/eurostat/web/energy/data/shares"" target=""_blank"">share of renewable energy</a> in gross final energy consumption to 20% by 2020.  More information about the renewable energy shares calculation methodology can be found on the <a href=""http://ec.europa.eu/eurostat/statistics-explained/index.php/Energy_from_renewable_sources"" target=""_blank"">Eurostat website</a>. More information on renewable energies can be found on the <a href=""https://ec.europa.eu/energy/en/topics/renewable-energy"" target=""_blank"">DG Energy website</a>.";;;;;;;;;;;;;;;;;;;;;;;;;
Code:;t2020_31;;;;;;;;;;;;;;;;;;;;;;;;;
