"TIME","GEO","UNIT","INDIC_EN","Value"
"2004","European Union (28 countries)","Percentage","Share of renewable energy in electricity","14.3"
"2004","Belgium","Percentage","Share of renewable energy in electricity","1.7"
"2004","Bulgaria","Percentage","Share of renewable energy in electricity","9.1"
"2004","Czech Republic","Percentage","Share of renewable energy in electricity","3.6"
"2004","Denmark","Percentage","Share of renewable energy in electricity","23.8"
"2004","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in electricity","9.4"
"2004","Estonia","Percentage","Share of renewable energy in electricity","0.6"
"2004","Ireland","Percentage","Share of renewable energy in electricity","6.0"
"2004","Greece","Percentage","Share of renewable energy in electricity","7.8"
"2004","Spain","Percentage","Share of renewable energy in electricity","19.0"
"2004","France","Percentage","Share of renewable energy in electricity","13.8"
"2004","Croatia","Percentage","Share of renewable energy in electricity","35.5"
"2004","Italy","Percentage","Share of renewable energy in electricity","16.1"
"2004","Cyprus","Percentage","Share of renewable energy in electricity","0.0"
"2004","Latvia","Percentage","Share of renewable energy in electricity","46.0"
"2004","Lithuania","Percentage","Share of renewable energy in electricity","3.6"
"2004","Luxembourg","Percentage","Share of renewable energy in electricity","2.8"
"2004","Hungary","Percentage","Share of renewable energy in electricity","2.2"
"2004","Malta","Percentage","Share of renewable energy in electricity","0.0"
"2004","Netherlands","Percentage","Share of renewable energy in electricity","4.4"
"2004","Austria","Percentage","Share of renewable energy in electricity","61.8"
"2004","Poland","Percentage","Share of renewable energy in electricity","2.2"
"2004","Portugal","Percentage","Share of renewable energy in electricity","27.5"
"2004","Romania","Percentage","Share of renewable energy in electricity","25.0"
"2004","Slovenia","Percentage","Share of renewable energy in electricity","29.3"
"2004","Slovakia","Percentage","Share of renewable energy in electricity","15.4"
"2004","Finland","Percentage","Share of renewable energy in electricity","26.7"
"2004","Sweden","Percentage","Share of renewable energy in electricity","51.2"
"2004","United Kingdom","Percentage","Share of renewable energy in electricity","3.5"
"2004","Iceland","Percentage","Share of renewable energy in electricity","93.1"
