Europe,September,YTD
Renault Zoe,2306,23938
BMW i3,2025,14825
Nissan LEAF,1387,14809
Mitsubishi Outlander PHEV,2080,13963
Tesla Model S,2526,10580
Volkswagen Passat GTE,1264,9520
Mercedes GLC350e,1191,9260
Tesla Model X,2136,8774
Volkswagen e-Golf,2041,7915
BMW 330e,1289,7862
BMW 225xe,1196,7804
Audi A3 e-Tron,856,6495
Volvo XC90 T8,930,5735
Volkswagen Golf GTE,976,5568
Mercedes C350e,782,5231
BMW X5 xDrive40e,547,4476
Hyundai Ioniq Electric,552,4352
Kia Soul EV,502,3829
BMW 530e,679,3508
Nissan e-NV200,379,3279
Others,8072,42424
