"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Gross inland consumption","163,750"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Energy Sector","1,016,147"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Oil and gas extraction","32,105"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Petroleum Refineries","90,216"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Nuclear industry","49,586"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Coal Mines","99,292"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Patent Fuel Plants","90"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Coke Ovens","8,827"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in BKB / PB Plants","32,929"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Gas Works","6,952"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Blast Furnaces","2,923"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Coal Liquefaction Plants","0"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Liquefaction (LNG) / regasification plants","0"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Gasification plants for biogas","0"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Gas-to-liquids (GTL) plants (energy)","0"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Non-specified (Energy)","75,672"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Charcoal production plants (Energy)","0"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Energy Available for Final Consumption","7,789,856"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption","7,781,054"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Industry","3,576,758"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Transport","223,405"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Consumption in Pipeline transport","3,053"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Final Energy Consumption - Other Sectors","3,980,891"
"1990","Euro area (19 countries)","Terajoule","Electrical energy","Gross inland consumption","-3,996"
