"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"1990","European Union (28 countries)","Terajoule","All products","Primary production","39,490,042"
"1990","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":"
"1990","Euro area (19 countries)","Terajoule","All products","Primary production","20,343,605"
"1990","Euro area (19 countries)","Terajoule","Electrical energy","Primary production",":"
"1990","Belgium","Terajoule","All products","Primary production","520,031"
"1990","Belgium","Terajoule","Electrical energy","Primary production",":"
"1990","Bulgaria","Terajoule","All products","Primary production","388,434"
"1990","Bulgaria","Terajoule","Electrical energy","Primary production",":"
"1990","Czech Republic","Terajoule","All products","Primary production","1,720,012"
"1990","Czech Republic","Terajoule","Electrical energy","Primary production",":"
"1990","Denmark","Terajoule","All products","Primary production","418,734"
"1990","Denmark","Terajoule","Electrical energy","Primary production",":"
"1990","Germany (until 1990 former territory of the FRG)","Terajoule","All products","Primary production","7,804,596"
"1990","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Primary production",":"
"1990","Estonia","Terajoule","All products","Primary production","226,702"
"1990","Estonia","Terajoule","Electrical energy","Primary production",":"
"1990","Ireland","Terajoule","All products","Primary production","145,174"
"1990","Ireland","Terajoule","Electrical energy","Primary production",":"
"1990","Greece","Terajoule","All products","Primary production","385,351"
"1990","Greece","Terajoule","Electrical energy","Primary production",":"
"1990","Spain","Terajoule","All products","Primary production","1,438,552"
"1990","Spain","Terajoule","Electrical energy","Primary production",":"
"1990","France","Terajoule","All products","Primary production","4,633,301"
"1990","France","Terajoule","Electrical energy","Primary production",":"
"1990","Croatia","Terajoule","All products","Primary production","237,560"
"1990","Croatia","Terajoule","Electrical energy","Primary production",":"
"1990","Italy","Terajoule","All products","Primary production","1,072,973"
"1990","Italy","Terajoule","Electrical energy","Primary production",":"
"1990","Cyprus","Terajoule","All products","Primary production","257"
"1990","Cyprus","Terajoule","Electrical energy","Primary production",":"
"1990","Latvia","Terajoule","All products","Primary production","46,999"
"1990","Latvia","Terajoule","Electrical energy","Primary production",":"
"1990","Lithuania","Terajoule","All products","Primary production","201,197"
"1990","Lithuania","Terajoule","Electrical energy","Primary production",":"
"1990","Luxembourg","Terajoule","All products","Primary production","1,206"
"1990","Luxembourg","Terajoule","Electrical energy","Primary production",":"
"1990","Hungary","Terajoule","All products","Primary production","612,928"
"1990","Hungary","Terajoule","Electrical energy","Primary production",":"
"1990","Malta","Terajoule","All products","Primary production","0"
"1990","Malta","Terajoule","Electrical energy","Primary production",":"
"1990","Netherlands","Terajoule","All products","Primary production","2,534,613"
"1990","Netherlands","Terajoule","Electrical energy","Primary production",":"
"1990","Austria","Terajoule","All products","Primary production","338,820"
"1990","Austria","Terajoule","Electrical energy","Primary production",":"
"1990","Poland","Terajoule","All products","Primary production","4,343,354"
"1990","Poland","Terajoule","Electrical energy","Primary production",":"
"1990","Portugal","Terajoule","All products","Primary production","142,039"
"1990","Portugal","Terajoule","Electrical energy","Primary production",":"
"1990","Romania","Terajoule","All products","Primary production","1,603,349"
"1990","Romania","Terajoule","Electrical energy","Primary production",":"
"1990","Slovenia","Terajoule","All products","Primary production","127,955"
"1990","Slovenia","Terajoule","Electrical energy","Primary production",":"
"1990","Slovakia","Terajoule","All products","Primary production","220,140"
"1990","Slovakia","Terajoule","Electrical energy","Primary production",":"
"1990","Finland","Terajoule","All products","Primary production","503,696"
"1990","Finland","Terajoule","Electrical energy","Primary production",":"
"1990","Sweden","Terajoule","All products","Primary production","1,235,257"
"1990","Sweden","Terajoule","Electrical energy","Primary production",":"
"1990","United Kingdom","Terajoule","All products","Primary production","8,586,810"
"1990","United Kingdom","Terajoule","Electrical energy","Primary production",":"
"1990","Iceland","Terajoule","All products","Primary production","67,826"
"1990","Iceland","Terajoule","Electrical energy","Primary production",":"
"1990","Norway","Terajoule","All products","Primary production","4,994,264"
"1990","Norway","Terajoule","Electrical energy","Primary production",":"
"1990","Montenegro","Terajoule","All products","Primary production","0"
"1990","Montenegro","Terajoule","Electrical energy","Primary production",":"
"1990","Former Yugoslav Republic of Macedonia, the","Terajoule","All products","Primary production","52,621"
"1990","Former Yugoslav Republic of Macedonia, the","Terajoule","Electrical energy","Primary production",":"
"1990","Albania","Terajoule","All products","Primary production","99,669"
"1990","Albania","Terajoule","Electrical energy","Primary production",":"
"1990","Serbia","Terajoule","All products","Primary production","573,760"
"1990","Serbia","Terajoule","Electrical energy","Primary production",":"
"1990","Turkey","Terajoule","All products","Primary production","1,085,315"
"1990","Turkey","Terajoule","Electrical energy","Primary production",":"
"1990","Bosnia and Herzegovina","Terajoule","All products","Primary production","192,772"
"1990","Bosnia and Herzegovina","Terajoule","Electrical energy","Primary production",":"
"1990","Kosovo (under United Nations Security Council Resolution 1244/99)","Terajoule","All products","Primary production","0"
"1990","Kosovo (under United Nations Security Council Resolution 1244/99)","Terajoule","Electrical energy","Primary production",":"
"1990","Moldova","Terajoule","All products","Primary production","3,527"
"1990","Moldova","Terajoule","Electrical energy","Primary production",":"
"1990","Ukraine","Terajoule","All products","Primary production","5,684,348"
"1990","Ukraine","Terajoule","Electrical energy","Primary production",":"
"1991","European Union (28 countries)","Terajoule","All products","Primary production","39,165,569"
"1991","European Union (28 countries)","Terajoule","Electrical energy","Primary production",":"
"1991","Euro area (19 countries)","Terajoule","All products","Primary production","20,086,832"
"1991","Euro area (19 countries)","Terajoule","Electrical energy","Primary production",":"
"1991","Belgium","Terajoule","All products","Primary production","512,835"
"1991","Belgium","Terajoule","Electrical energy","Primary production",":"
"1991","Bulgaria","Terajoule","All products","Primary production","355,161"
"1991","Bulgaria","Terajoule","Electrical energy","Primary production",":"
"1991","Czech Republic","Terajoule","All products","Primary production","1,618,426"
"1991","Czech Republic","Terajoule","Electrical energy","Primary production",":"
"1991","Denmark","Terajoule","All products","Primary production","497,035"
"1991","Denmark","Terajoule","Electrical energy","Primary production",":"
"1991","Germany (until 1990 former territory of the FRG)","Terajoule","All products","Primary production","7,048,506"
"1991","Germany (until 1990 former territory of the FRG)","Terajoule","Electrical energy","Primary production",":"
"1991","Estonia","Terajoule","All products","Primary production","202,826"
"1991","Estonia","Terajoule","Electrical energy","Primary production",":"
"1991","Ireland","Terajoule","All products","Primary production","137,634"
"1991","Ireland","Terajoule","Electrical energy","Primary production",":"
"1991","Greece","Terajoule","All products","Primary production","381,442"
"1991","Greece","Terajoule","Electrical energy","Primary production",":"
"1991","Spain","Terajoule","All products","Primary production","1,428,560"
"1991","Spain","Terajoule","Electrical energy","Primary production",":"
"1991","France","Terajoule","All products","Primary production","4,913,647"
"1991","France","Terajoule","Electrical energy","Primary production",":"
"1991","Croatia","Terajoule","All products","Primary production","238,139"
"1991","Croatia","Terajoule","Electrical energy","Primary production",":"
"1991","Italy","Terajoule","All products","Primary production","1,099,489"
"1991","Italy","Terajoule","Electrical energy","Primary production",":"
"1991","Cyprus","Terajoule","All products","Primary production","232"
"1991","Cyprus","Terajoule","Electrical energy","Primary production",":"
"1991","Latvia","Terajoule","All products","Primary production","47,038"
"1991","Latvia","Terajoule","Electrical energy","Primary production",":"
"1991","Lithuania","Terajoule","All products","Primary production","200,960"
"1991","Lithuania","Terajoule","Electrical energy","Primary production",":"
"1991","Luxembourg","Terajoule","All products","Primary production","1,277"
"1991","Luxembourg","Terajoule","Electrical energy","Primary production",":"
"1991","Hungary","Terajoule","All products","Primary production","603,342"
"1991","Hungary","Terajoule","Electrical energy","Primary production",":"
"1991","Malta","Terajoule","All products","Primary production","0"
"1991","Malta","Terajoule","Electrical energy","Primary production",":"
"1991","Netherlands","Terajoule","All products","Primary production","2,825,338"
"1991","Netherlands","Terajoule","Electrical energy","Primary production",":"
"1991","Austria","Terajoule","All products","Primary production","348,843"
"1991","Austria","Terajoule","Electrical energy","Primary production",":"
"1991","Poland","Terajoule","All products","Primary production","4,171,831"
"1991","Poland","Terajoule","Electrical energy","Primary production",":"
"1991","Portugal","Terajoule","All products","Primary production","142,102"
"1991","Portugal","Terajoule","Electrical energy","Primary production",":"
"1991","Romania","Terajoule","All products","Primary production","1,422,098"
"1991","Romania","Terajoule","Electrical energy","Primary production",":"
"1991","Slovenia","Terajoule","All products","Primary production","129,412"
"1991","Slovenia","Terajoule","Electrical energy","Primary production",":"
"1991","Slovakia","Terajoule","All products","Primary production","201,187"
"1991","Slovakia","Terajoule","Electrical energy","Primary production",":"
"1991","Finland","Terajoule","All products","Primary production","465,504"
"1991","Finland","Terajoule","Electrical energy","Primary production",":"
"1991","Sweden","Terajoule","All products","Primary production","1,307,295"
"1991","Sweden","Terajoule","Electrical energy","Primary production",":"
"1991","United Kingdom","Terajoule","All products","Primary production","8,865,411"
"1991","United Kingdom","Terajoule","Electrical energy","Primary production",":"
"1991","Iceland","Terajoule","All products","Primary production","62,739"
"1991","Iceland","Terajoule","Electrical energy","Primary production",":"
"1991","Norway","Terajoule","All products","Primary production","5,494,508"
"1991","Norway","Terajoule","Electrical energy","Primary production",":"
"1991","Montenegro","Terajoule","All products","Primary production","0"
"1991","Montenegro","Terajoule","Electrical energy","Primary production",":"
"1991","Former Yugoslav Republic of Macedonia, the","Terajoule","All products","Primary production","56,455"
"1991","Former Yugoslav Republic of Macedonia, the","Terajoule","Electrical energy","Primary production",":"
"1991","Albania","Terajoule","All products","Primary production","78,041"
"1991","Albania","Terajoule","Electrical energy","Primary production",":"
"1991","Serbia","Terajoule","All products","Primary production","515,699"
"1991","Serbia","Terajoule","Electrical energy","Primary production",":"
"1991","Turkey","Terajoule","All products","Primary production","1,081,911"
"1991","Turkey","Terajoule","Electrical energy","Primary production",":"
"1991","Bosnia and Herzegovina","Terajoule","All products","Primary production","180,962"
"1991","Bosnia and Herzegovina","Terajoule","Electrical energy","Primary production",":"
"1991","Kosovo (under United Nations Security Council Resolution 1244/99)","Terajoule","All products","Primary production","0"
