"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"1990","European Union (28 countries)","Terajoule","Renewable energies","Primary production","3,006,222.9"
"1990","European Union (28 countries)","Terajoule","Hydro power","Primary production","1,045,537.2"
"1990","European Union (28 countries)","Terajoule","Wind power","Primary production","2,800.8"
"1990","European Union (28 countries)","Terajoule","Solar thermal","Primary production","5,941.0"
"1990","European Union (28 countries)","Terajoule","Solar photovoltaic","Primary production","46.4"
"1990","European Union (28 countries)","Terajoule","Tide, Wave and Ocean","Primary production","1,810.8"
"1990","European Union (28 countries)","Terajoule","Biomass and renewable wastes","Primary production","1,816,753.8"
"1990","European Union (28 countries)","Terajoule","Geothermal Energy","Primary production","133,333.0"
"1990","Euro area (19 countries)","Terajoule","Renewable energies","Primary production","2,158,893.9"
"1990","Euro area (19 countries)","Terajoule","Hydro power","Primary production","693,097.2"
"1990","Euro area (19 countries)","Terajoule","Wind power","Primary production","550.8"
"1990","Euro area (19 countries)","Terajoule","Solar thermal","Primary production","5,280.0"
"1990","Euro area (19 countries)","Terajoule","Solar photovoltaic","Primary production","46.4"
"1990","Euro area (19 countries)","Terajoule","Tide, Wave and Ocean","Primary production","1,810.8"
"1990","Euro area (19 countries)","Terajoule","Biomass and renewable wastes","Primary production","1,328,456.8"
"1990","Euro area (19 countries)","Terajoule","Geothermal Energy","Primary production","129,652.0"
"1990","Belgium","Terajoule","Renewable energies","Primary production","20,145.8"
"1990","Belgium","Terajoule","Hydro power","Primary production","957.6"
"1990","Belgium","Terajoule","Wind power","Primary production","25.2"
"1990","Belgium","Terajoule","Solar thermal","Primary production","35.0"
"1990","Belgium","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Belgium","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Belgium","Terajoule","Biomass and renewable wastes","Primary production","19,039.0"
"1990","Belgium","Terajoule","Geothermal Energy","Primary production","89.0"
"1990","Bulgaria","Terajoule","Renewable energies","Primary production","14,059.8"
"1990","Bulgaria","Terajoule","Hydro power","Primary production","6,760.8"
"1990","Bulgaria","Terajoule","Wind power","Primary production","0.0"
"1990","Bulgaria","Terajoule","Solar thermal","Primary production","0.0"
"1990","Bulgaria","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Bulgaria","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Bulgaria","Terajoule","Biomass and renewable wastes","Primary production","7,299.0"
"1990","Bulgaria","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Czech Republic","Terajoule","Renewable energies","Primary production","47,757.6"
"1990","Czech Republic","Terajoule","Hydro power","Primary production","4,179.6"
"1990","Czech Republic","Terajoule","Wind power","Primary production","0.0"
"1990","Czech Republic","Terajoule","Solar thermal","Primary production","0.0"
"1990","Czech Republic","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Czech Republic","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Czech Republic","Terajoule","Biomass and renewable wastes","Primary production","43,578.0"
"1990","Czech Republic","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Denmark","Terajoule","Renewable energies","Primary production","43,192.8"
"1990","Denmark","Terajoule","Hydro power","Primary production","100.8"
"1990","Denmark","Terajoule","Wind power","Primary production","2,196.0"
"1990","Denmark","Terajoule","Solar thermal","Primary production","100.0"
"1990","Denmark","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Denmark","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Denmark","Terajoule","Biomass and renewable wastes","Primary production","40,748.0"
"1990","Denmark","Terajoule","Geothermal Energy","Primary production","48.0"
"1990","Germany (until 1990 former territory of the FRG)","Terajoule","Renewable energies","Primary production","222,462.8"
"1990","Germany (until 1990 former territory of the FRG)","Terajoule","Hydro power","Primary production","62,733.6"
"1990","Germany (until 1990 former territory of the FRG)","Terajoule","Wind power","Primary production","255.6"
"1990","Germany (until 1990 former territory of the FRG)","Terajoule","Solar thermal","Primary production","468.0"
"1990","Germany (until 1990 former territory of the FRG)","Terajoule","Solar photovoltaic","Primary production","3.6"
"1990","Germany (until 1990 former territory of the FRG)","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Germany (until 1990 former territory of the FRG)","Terajoule","Biomass and renewable wastes","Primary production","159,002.0"
"1990","Germany (until 1990 former territory of the FRG)","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Estonia","Terajoule","Renewable energies","Primary production","7,865.0"
"1990","Estonia","Terajoule","Hydro power","Primary production","0.0"
"1990","Estonia","Terajoule","Wind power","Primary production","0.0"
"1990","Estonia","Terajoule","Solar thermal","Primary production","0.0"
"1990","Estonia","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Estonia","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Estonia","Terajoule","Biomass and renewable wastes","Primary production","7,865.0"
"1990","Estonia","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Ireland","Terajoule","Renewable energies","Primary production","7,022.2"
"1990","Ireland","Terajoule","Hydro power","Primary production","2,509.2"
"1990","Ireland","Terajoule","Wind power","Primary production","0.0"
"1990","Ireland","Terajoule","Solar thermal","Primary production","2.0"
"1990","Ireland","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Ireland","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Ireland","Terajoule","Biomass and renewable wastes","Primary production","4,511.0"
"1990","Ireland","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Greece","Terajoule","Renewable energies","Primary production","46,249.6"
"1990","Greece","Terajoule","Hydro power","Primary production","6,368.4"
"1990","Greece","Terajoule","Wind power","Primary production","7.2"
"1990","Greece","Terajoule","Solar thermal","Primary production","2,363.0"
"1990","Greece","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Greece","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Greece","Terajoule","Biomass and renewable wastes","Primary production","37,403.0"
"1990","Greece","Terajoule","Geothermal Energy","Primary production","108.0"
"1990","Spain","Terajoule","Renewable energies","Primary production","259,664.0"
"1990","Spain","Terajoule","Hydro power","Primary production","91,692.0"
"1990","Spain","Terajoule","Wind power","Primary production","50.4"
"1990","Spain","Terajoule","Solar thermal","Primary production","0.0"
"1990","Spain","Terajoule","Solar photovoltaic","Primary production","21.6"
"1990","Spain","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Spain","Terajoule","Biomass and renewable wastes","Primary production","167,746.0"
"1990","Spain","Terajoule","Geothermal Energy","Primary production","154.0"
"1990","France","Terajoule","Renewable energies","Primary production","637,409.4"
"1990","France","Terajoule","Hydro power","Primary production","193,917.6"
"1990","France","Terajoule","Wind power","Primary production","0.0"
"1990","France","Terajoule","Solar thermal","Primary production","1,015.0"
"1990","France","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","France","Terajoule","Tide, Wave and Ocean","Primary production","1,810.8"
"1990","France","Terajoule","Biomass and renewable wastes","Primary production","436,042.0"
"1990","France","Terajoule","Geothermal Energy","Primary production","4,624.0"
"1990","Croatia","Terajoule","Renewable energies","Primary production","50,994.2"
"1990","Croatia","Terajoule","Hydro power","Primary production","14,821.2"
"1990","Croatia","Terajoule","Wind power","Primary production","0.0"
"1990","Croatia","Terajoule","Solar thermal","Primary production","0.0"
"1990","Croatia","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Croatia","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Croatia","Terajoule","Biomass and renewable wastes","Primary production","36,173.0"
"1990","Croatia","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Italy","Terajoule","Renewable energies","Primary production","267,144.2"
"1990","Italy","Terajoule","Hydro power","Primary production","113,853.6"
"1990","Italy","Terajoule","Wind power","Primary production","7.2"
"1990","Italy","Terajoule","Solar thermal","Primary production","202.0"
"1990","Italy","Terajoule","Solar photovoltaic","Primary production","14.4"
"1990","Italy","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Italy","Terajoule","Biomass and renewable wastes","Primary production","28,675.0"
"1990","Italy","Terajoule","Geothermal Energy","Primary production","124,392.0"
"1990","Cyprus","Terajoule","Renewable energies","Primary production","257.0"
"1990","Cyprus","Terajoule","Hydro power","Primary production","0.0"
"1990","Cyprus","Terajoule","Wind power","Primary production","0.0"
"1990","Cyprus","Terajoule","Solar thermal","Primary production",":"
"1990","Cyprus","Terajoule","Solar photovoltaic","Primary production",":"
"1990","Cyprus","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Cyprus","Terajoule","Biomass and renewable wastes","Primary production","257.0"
"1990","Cyprus","Terajoule","Geothermal Energy","Primary production",":"
"1990","Latvia","Terajoule","Renewable energies","Primary production","44,456.6"
"1990","Latvia","Terajoule","Hydro power","Primary production","16,185.6"
"1990","Latvia","Terajoule","Wind power","Primary production","0.0"
"1990","Latvia","Terajoule","Solar thermal","Primary production","0.0"
"1990","Latvia","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Latvia","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Latvia","Terajoule","Biomass and renewable wastes","Primary production","28,271.0"
"1990","Latvia","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Lithuania","Terajoule","Renewable energies","Primary production","13,420.4"
"1990","Lithuania","Terajoule","Hydro power","Primary production","1,490.4"
"1990","Lithuania","Terajoule","Wind power","Primary production","0.0"
"1990","Lithuania","Terajoule","Solar thermal","Primary production","0.0"
"1990","Lithuania","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Lithuania","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Lithuania","Terajoule","Biomass and renewable wastes","Primary production","11,930.0"
"1990","Lithuania","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Luxembourg","Terajoule","Renewable energies","Primary production","762.0"
"1990","Luxembourg","Terajoule","Hydro power","Primary production","252.0"
"1990","Luxembourg","Terajoule","Wind power","Primary production","0.0"
"1990","Luxembourg","Terajoule","Solar thermal","Primary production","0.0"
"1990","Luxembourg","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Luxembourg","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Luxembourg","Terajoule","Biomass and renewable wastes","Primary production","510.0"
"1990","Luxembourg","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Hungary","Terajoule","Renewable energies","Primary production","33,065.8"
"1990","Hungary","Terajoule","Hydro power","Primary production","640.8"
"1990","Hungary","Terajoule","Wind power","Primary production","0.0"
"1990","Hungary","Terajoule","Solar thermal","Primary production","0.0"
"1990","Hungary","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Hungary","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Hungary","Terajoule","Biomass and renewable wastes","Primary production","28,825.0"
"1990","Hungary","Terajoule","Geothermal Energy","Primary production","3,600.0"
"1990","Malta","Terajoule","Renewable energies","Primary production","0.0"
"1990","Malta","Terajoule","Hydro power","Primary production","0.0"
"1990","Malta","Terajoule","Wind power","Primary production","0.0"
"1990","Malta","Terajoule","Solar thermal","Primary production","0.0"
"1990","Malta","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Malta","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Malta","Terajoule","Biomass and renewable wastes","Primary production","0.0"
"1990","Malta","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Netherlands","Terajoule","Renewable energies","Primary production","31,604.1"
"1990","Netherlands","Terajoule","Hydro power","Primary production","306.0"
"1990","Netherlands","Terajoule","Wind power","Primary production","201.6"
"1990","Netherlands","Terajoule","Solar thermal","Primary production","100.0"
"1990","Netherlands","Terajoule","Solar photovoltaic","Primary production","1.5"
"1990","Netherlands","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Netherlands","Terajoule","Biomass and renewable wastes","Primary production","30,995.0"
"1990","Netherlands","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Austria","Terajoule","Renewable energies","Primary production","208,927.2"
"1990","Austria","Terajoule","Hydro power","Primary production","113,432.4"
"1990","Austria","Terajoule","Wind power","Primary production","0.0"
"1990","Austria","Terajoule","Solar thermal","Primary production","621.0"
"1990","Austria","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Austria","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Austria","Terajoule","Biomass and renewable wastes","Primary production","94,722.8"
"1990","Austria","Terajoule","Geothermal Energy","Primary production","151.0"
"1990","Poland","Terajoule","Renewable energies","Primary production","66,137.2"
"1990","Poland","Terajoule","Hydro power","Primary production","5,101.2"
"1990","Poland","Terajoule","Wind power","Primary production","0.0"
"1990","Poland","Terajoule","Solar thermal","Primary production","0.0"
"1990","Poland","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Poland","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Poland","Terajoule","Biomass and renewable wastes","Primary production","61,036.0"
"1990","Poland","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Portugal","Terajoule","Renewable energies","Primary production","137,216.6"
"1990","Portugal","Terajoule","Hydro power","Primary production","32,918.4"
"1990","Portugal","Terajoule","Wind power","Primary production","3.6"
"1990","Portugal","Terajoule","Solar thermal","Primary production","458.0"
"1990","Portugal","Terajoule","Solar photovoltaic","Primary production","3.6"
"1990","Portugal","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Portugal","Terajoule","Biomass and renewable wastes","Primary production","103,699.0"
"1990","Portugal","Terajoule","Geothermal Energy","Primary production","134.0"
"1990","Romania","Terajoule","Renewable energies","Primary production","66,291.6"
"1990","Romania","Terajoule","Hydro power","Primary production","41,079.6"
"1990","Romania","Terajoule","Wind power","Primary production","0.0"
"1990","Romania","Terajoule","Solar thermal","Primary production","0.0"
"1990","Romania","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Romania","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Romania","Terajoule","Biomass and renewable wastes","Primary production","25,212.0"
"1990","Romania","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Slovenia","Terajoule","Renewable energies","Primary production","20,537.0"
"1990","Slovenia","Terajoule","Hydro power","Primary production","10,620.0"
"1990","Slovenia","Terajoule","Wind power","Primary production","0.0"
"1990","Slovenia","Terajoule","Solar thermal","Primary production","0.0"
"1990","Slovenia","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Slovenia","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Slovenia","Terajoule","Biomass and renewable wastes","Primary production","9,917.0"
"1990","Slovenia","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Slovakia","Terajoule","Renewable energies","Primary production","13,733.0"
"1990","Slovakia","Terajoule","Hydro power","Primary production","6,768.0"
"1990","Slovakia","Terajoule","Wind power","Primary production","0.0"
"1990","Slovakia","Terajoule","Solar thermal","Primary production","0.0"
"1990","Slovakia","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Slovakia","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Slovakia","Terajoule","Biomass and renewable wastes","Primary production","6,965.0"
"1990","Slovakia","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Finland","Terajoule","Renewable energies","Primary production","220,017.0"
"1990","Finland","Terajoule","Hydro power","Primary production","39,092.4"
"1990","Finland","Terajoule","Wind power","Primary production","0.0"
"1990","Finland","Terajoule","Solar thermal","Primary production","16.0"
"1990","Finland","Terajoule","Solar photovoltaic","Primary production","1.6"
"1990","Finland","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Finland","Terajoule","Biomass and renewable wastes","Primary production","180,907.0"
"1990","Finland","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Sweden","Terajoule","Renewable energies","Primary production","482,751.4"
"1990","Sweden","Terajoule","Hydro power","Primary production","261,010.8"
"1990","Sweden","Terajoule","Wind power","Primary production","21.6"
"1990","Sweden","Terajoule","Solar thermal","Primary production","133.0"
"1990","Sweden","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Sweden","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Sweden","Terajoule","Biomass and renewable wastes","Primary production","221,586.0"
"1990","Sweden","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","United Kingdom","Terajoule","Renewable energies","Primary production","43,078.6"
"1990","United Kingdom","Terajoule","Hydro power","Primary production","18,745.2"
"1990","United Kingdom","Terajoule","Wind power","Primary production","32.4"
"1990","United Kingdom","Terajoule","Solar thermal","Primary production","428.0"
"1990","United Kingdom","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","United Kingdom","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","United Kingdom","Terajoule","Biomass and renewable wastes","Primary production","23,840.0"
"1990","United Kingdom","Terajoule","Geothermal Energy","Primary production","33.0"
"1990","Iceland","Terajoule","Renewable energies","Primary production","67,826.4"
"1990","Iceland","Terajoule","Hydro power","Primary production","15,134.4"
"1990","Iceland","Terajoule","Wind power","Primary production","0.0"
"1990","Iceland","Terajoule","Solar thermal","Primary production","0.0"
"1990","Iceland","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Iceland","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Iceland","Terajoule","Biomass and renewable wastes","Primary production","0.0"
"1990","Iceland","Terajoule","Geothermal Energy","Primary production","52,692.0"
"1990","Norway","Terajoule","Renewable energies","Primary production","477,049.0"
"1990","Norway","Terajoule","Hydro power","Primary production","436,122.0"
"1990","Norway","Terajoule","Wind power","Primary production","0.0"
"1990","Norway","Terajoule","Solar thermal","Primary production","0.0"
"1990","Norway","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Norway","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Norway","Terajoule","Biomass and renewable wastes","Primary production","40,927.0"
"1990","Norway","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Montenegro","Terajoule","Renewable energies","Primary production","0.0"
"1990","Montenegro","Terajoule","Hydro power","Primary production","0.0"
"1990","Montenegro","Terajoule","Wind power","Primary production","0.0"
"1990","Montenegro","Terajoule","Solar thermal","Primary production","0.0"
"1990","Montenegro","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Montenegro","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Montenegro","Terajoule","Biomass and renewable wastes","Primary production","0.0"
"1990","Montenegro","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Former Yugoslav Republic of Macedonia, the","Terajoule","Renewable energies","Primary production","1,767.6"
"1990","Former Yugoslav Republic of Macedonia, the","Terajoule","Hydro power","Primary production","1,767.6"
"1990","Former Yugoslav Republic of Macedonia, the","Terajoule","Wind power","Primary production","0.0"
"1990","Former Yugoslav Republic of Macedonia, the","Terajoule","Solar thermal","Primary production","0.0"
"1990","Former Yugoslav Republic of Macedonia, the","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Former Yugoslav Republic of Macedonia, the","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Former Yugoslav Republic of Macedonia, the","Terajoule","Biomass and renewable wastes","Primary production","0.0"
"1990","Former Yugoslav Republic of Macedonia, the","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Albania","Terajoule","Renewable energies","Primary production","25,451.8"
"1990","Albania","Terajoule","Hydro power","Primary production","10,252.8"
"1990","Albania","Terajoule","Wind power","Primary production","0.0"
"1990","Albania","Terajoule","Solar thermal","Primary production","0.0"
"1990","Albania","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Albania","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Albania","Terajoule","Biomass and renewable wastes","Primary production","15,199.0"
"1990","Albania","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Serbia","Terajoule","Renewable energies","Primary production","83,039.6"
"1990","Serbia","Terajoule","Hydro power","Primary production","34,095.6"
"1990","Serbia","Terajoule","Wind power","Primary production","0.0"
"1990","Serbia","Terajoule","Solar thermal","Primary production","0.0"
"1990","Serbia","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Serbia","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Serbia","Terajoule","Biomass and renewable wastes","Primary production","48,944.0"
"1990","Serbia","Terajoule","Geothermal Energy","Primary production","0.0"
"1990","Turkey","Terajoule","Renewable energies","Primary production","404,363.8"
"1990","Turkey","Terajoule","Hydro power","Primary production","83,332.8"
"1990","Turkey","Terajoule","Wind power","Primary production","0.0"
"1990","Turkey","Terajoule","Solar thermal","Primary production","1,172.0"
"1990","Turkey","Terajoule","Solar photovoltaic","Primary production","0.0"
"1990","Turkey","Terajoule","Tide, Wave and Ocean","Primary production","0.0"
"1990","Turkey","Terajoule","Biomass and renewable wastes","Primary production","301,722.0"
"1990","Turkey","Terajoule","Geothermal Energy","Primary production","18,137.0"
"1990","Bosnia and Herzegovina","Terajoule","Renewable energies","Primary production","17,846.8"
"1990","Bosnia and Herzegovina","Terajoule","Hydro power","Primary production","11,008.8"
"1990","Bosnia and Herzegovina","Terajoule","Wind power","Primary production","0.0"
"1990","Bosnia and Herzegovina","Terajoule","Solar thermal","Primary production","0.0"
