"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"1990","European Union (28 countries)","Terajoule","Solid fuels","Primary production","15,360,260"
"1990","European Union (28 countries)","Terajoule","Solid fuels","Gross inland consumption","19,039,154"
"1990","European Union (28 countries)","Terajoule","Renewable energies","Primary production","3,006,223"
"1990","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","3,020,656"
"1990","European Union (28 countries)","Terajoule","Hydro power","Primary production","1,045,537"
"1990","European Union (28 countries)","Terajoule","Hydro power","Gross inland consumption","1,045,537"
"1990","European Union (28 countries)","Terajoule","Wind power","Primary production","2,801"
"1990","European Union (28 countries)","Terajoule","Wind power","Gross inland consumption","2,801"
"1990","European Union (28 countries)","Terajoule","Solar photovoltaic","Primary production","46"
"1990","European Union (28 countries)","Terajoule","Solar photovoltaic","Gross inland consumption","46"
"1990","European Union (28 countries)","Terajoule","Solid biofuels (excluding charcoal)","Primary production","1,700,954"
"1990","European Union (28 countries)","Terajoule","Solid biofuels (excluding charcoal)","Gross inland consumption","1,715,050"
"1990","European Union (28 countries)","Terajoule","Biogas","Primary production","27,859"
"1990","European Union (28 countries)","Terajoule","Biogas","Gross inland consumption","27,859"
"1990","European Union (28 countries)","Terajoule","Geothermal Energy","Primary production","133,333"
"1990","European Union (28 countries)","Terajoule","Geothermal Energy","Gross inland consumption","133,333"
"1990","Euro area (19 countries)","Terajoule","Solid fuels","Primary production","6,752,392"
"1990","Euro area (19 countries)","Terajoule","Solid fuels","Gross inland consumption","10,207,662"
"1990","Euro area (19 countries)","Terajoule","Renewable energies","Primary production","2,158,894"
"1990","Euro area (19 countries)","Terajoule","Renewable energies","Gross inland consumption","2,175,257"
"1990","Euro area (19 countries)","Terajoule","Hydro power","Primary production","693,097"
"1990","Euro area (19 countries)","Terajoule","Hydro power","Gross inland consumption","693,097"
"1990","Euro area (19 countries)","Terajoule","Wind power","Primary production","551"
"1990","Euro area (19 countries)","Terajoule","Wind power","Gross inland consumption","551"
"1990","Euro area (19 countries)","Terajoule","Solar photovoltaic","Primary production","46"
"1990","Euro area (19 countries)","Terajoule","Solar photovoltaic","Gross inland consumption","46"
"1990","Euro area (19 countries)","Terajoule","Solid biofuels (excluding charcoal)","Primary production","1,240,225"
"1990","Euro area (19 countries)","Terajoule","Solid biofuels (excluding charcoal)","Gross inland consumption","1,256,251"
"1990","Euro area (19 countries)","Terajoule","Biogas","Primary production","18,492"
"1990","Euro area (19 countries)","Terajoule","Biogas","Gross inland consumption","18,492"
"1990","Euro area (19 countries)","Terajoule","Geothermal Energy","Primary production","129,652"
"1990","Euro area (19 countries)","Terajoule","Geothermal Energy","Gross inland consumption","129,652"
"1990","Belgium","Terajoule","Solid fuels","Primary production","25,526"
"1990","Belgium","Terajoule","Solid fuels","Gross inland consumption","443,668"
"1990","Belgium","Terajoule","Renewable energies","Primary production","20,146"
"1990","Belgium","Terajoule","Renewable energies","Gross inland consumption","20,146"
"1990","Belgium","Terajoule","Hydro power","Primary production","958"
"1990","Belgium","Terajoule","Hydro power","Gross inland consumption","958"
"1990","Belgium","Terajoule","Wind power","Primary production","25"
"1990","Belgium","Terajoule","Wind power","Gross inland consumption","25"
"1990","Belgium","Terajoule","Solar photovoltaic","Primary production","0"
"1990","Belgium","Terajoule","Solar photovoltaic","Gross inland consumption","0"
"1990","Belgium","Terajoule","Solid biofuels (excluding charcoal)","Primary production","14,064"
"1990","Belgium","Terajoule","Solid biofuels (excluding charcoal)","Gross inland consumption","14,064"
"1990","Belgium","Terajoule","Biogas","Primary production","269"
"1990","Belgium","Terajoule","Biogas","Gross inland consumption","269"
"1990","Belgium","Terajoule","Geothermal Energy","Primary production","89"
